Year,WorldwideBox Office,DomesticBox Office,InternationalBox Office,category,name,winner,nomination count,Nomination ID,Movie ID
1999,356258047.0,130058047.0,226200000.0,WRITING (Screenplay Written Directly for the Screen),Alan Ball,True,8,810,165
2002,355612291.0,164606800.0,191005491.0,ACTOR IN A SUPPORTING ROLE,Christopher Walken,False,2,812,166
2002,355612291.0,164606800.0,191005491.0,MUSIC (Original Score),John Williams,False,2,813,166
1993,353715317.0,183875760.0,169839557.0,ACTOR IN A SUPPORTING ROLE,Tommy Lee Jones,True,7,816,167
1993,353715317.0,183875760.0,169839557.0,CINEMATOGRAPHY,Michael Chapman,False,7,817,167
1993,353715317.0,183875760.0,169839557.0,FILM EDITING,"Dennis Virkler, David Finfer, Dean Goodhill, Don Brochu, Richard Nord, Dov Hoenig",False,7,818,167
1993,353715317.0,183875760.0,169839557.0,MUSIC (Original Score),James Newton Howard,False,7,819,167
1993,353715317.0,183875760.0,169839557.0,BEST PICTURE,"Arnold Kopelson, Producer",False,7,820,167
1993,353715317.0,183875760.0,169839557.0,SOUND,"Donald O. Mitchell, Michael Herbick, Frank A. Montaño, Scott D. Smith",False,7,821,167
1993,353715317.0,183875760.0,169839557.0,SOUND EFFECTS EDITING,"John Leveque, Bruce Stambler",False,7,822,167
2013,353640419.0,144840419.0,208800000.0,COSTUME DESIGN,Theoni V. Aldredge,True,4,823,168
2013,353640419.0,144840419.0,208800000.0,MUSIC (Scoring: Original Song Score and Adaptation -or- Scoring: Adaptation),Adaptation Score by Nelson Riddle,True,4,824,168
2013,353640419.0,144840419.0,208800000.0,COSTUME DESIGN,Catherine Martin,True,4,825,168
2013,353640419.0,144840419.0,208800000.0,PRODUCTION DESIGN,Production Design: Catherine Martin; Set Decoration: Beverley Dunn,True,4,826,168
2019,353166307.0,114766307.0,238400000.0,MUSIC (Scoring of a Musical Picture),"Frank Churchill, Oliver Wallace",True,2,827,169
2019,353166307.0,114766307.0,238400000.0,MUSIC (Song),Music by Frank Churchill; Lyrics by Ned Washington,False,2,828,169
1992,352700000.0,117727224.0,234972776.0,FILM EDITING,Frank J. Urioste,False,2,830,170
1992,352700000.0,117727224.0,234972776.0,MUSIC (Original Score),Jerry Goldsmith,False,2,831,170
2010,351774938.0,176591618.0,175183320.0,ACTOR IN A SUPPORTING ROLE,Noriyuki 'Pat' Morita,False,1,833,171
2017,351767147.0,102826543.0,248940604.0,ACTOR,Albert Finney,False,6,834,172
2017,351767147.0,102826543.0,248940604.0,ACTRESS IN A SUPPORTING ROLE,Ingrid Bergman,True,6,835,172
2017,351767147.0,102826543.0,248940604.0,CINEMATOGRAPHY,Geoffrey Unsworth,False,6,836,172
2017,351767147.0,102826543.0,248940604.0,COSTUME DESIGN,Tony Walton,False,6,837,172
2017,351767147.0,102826543.0,248940604.0,MUSIC (Original Dramatic Score),Richard Rodney Bennett,False,6,838,172
2017,351767147.0,102826543.0,248940604.0,WRITING (Screenplay Adapted from Other Material),Paul Dehn,False,6,839,172
1994,351620129.0,119920129.0,231700000.0,VISUAL EFFECTS,"Scott Squires, Steve Williams, Tom Bertino, Jon Farhat",False,1,840,173
2018,348901032.0,171958438.0,176942594.0,COSTUME DESIGN,Sandy Powell,False,4,846,174
2018,348901032.0,171958438.0,176942594.0,MUSIC (Original Score),Marc Shaiman,False,4,847,174
2018,348901032.0,171958438.0,176942594.0,MUSIC (Original Song),Music by Marc Shaiman; Lyric by Scott Wittman and Marc Shaiman,False,4,848,174
2018,348901032.0,171958438.0,176942594.0,PRODUCTION DESIGN,Production Design: John Myhre; Set Decoration: Gordon Sim,False,4,849,174
2004,348629585.0,144801023.0,203828562.0,VISUAL EFFECTS,"John Nelson, Andrew R. Jones, Erik Nash and Joe Letteri",False,1,850,175
1995,347100000.0,141579773.0,205520227.0,MUSIC (Original Musical or Comedy Score),Music by Alan Menken; Lyrics by Stephen Schwartz; Orchestral Score by Alan Menken,True,2,854,176
1995,347100000.0,141579773.0,205520227.0,MUSIC (Original Song),Music by Alan Menken; Lyric by Stephen Schwartz,True,2,855,176
2016,343242613.0,153707064.0,189535549.0,MUSIC (Original Song),"Music and Lyric by Justin Timberlake, Max Martin and Karl Johan Schuster",False,1,860,177
2008,342416460.0,134508551.0,207907909.0,SOUND EDITING,Wylie Stateman,False,2,862,178
